asset_code,public_name,class,subtype,status,orig_views,deeptics_views,description,dof,payload_kg,sensor_default,controller_presets,interfaces,posml,safety,compatibility
DXA-P7,CollabArm-P7,manipulator,7DoF-collab,proto,663,0,7-DoF collaborative arm with rich redundancy for constrained reach.,7,7.0,"['SM-RGBD', 'SM-IMU', 'SM-FT', 'SM-Tactile']","['joint_space_PD', 'task_space_impedance', 'RRT_connect', 'IK_solvers']","{'control': ['CTRL-Manipulation'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXA-P7.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXA-3E,CollabArm-3e,manipulator,6DoF-compact,proto,587,0,Compact 6-DoF arm for tight workcells and benchtop tasks.,6,3.0,"['SM-RGBD', 'SM-IMU', 'SM-FT', 'SM-Tactile']","['joint_space_PD', 'task_space_impedance', 'RRT_connect', 'IK_solvers']","{'control': ['CTRL-Manipulation'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXA-3E.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXH-POWER,Humanoid-Power,humanoid,large-biped,proto,515,0,"Power-class humanoid for dynamic balance, jump, and load-handling trials.",28,10.0,"['SM-RGBD', 'SM-IMU', 'SM-Stereo', 'SM-LiDAR-3D']","['gait_walk', 'push_recovery', 'whole_body_QP', 'jump_control']","{'control': ['CTRL-Locomotion'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXH-POWER.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXQ-PET,Quadruped-Pet,legged,mini-quadruped,proto,495,0,"Small pet-class quadruped for education, HRI, and gait prototyping.",8,2.0,"['SM-IMU', 'SM-RGBD']","['gait_walk', 'gait_trot']","{'control': ['CTRL-Locomotion'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXQ-PET.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXH-K3HV,Humanoid-K3HV,humanoid,small-biped,proto,373,0,Compact research humanoid with high-velocity joints for agility studies.,18,0.8,"['SM-IMU', 'SM-RGBD']","['gait_walk', 'push_recovery']","{'control': ['CTRL-Locomotion'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXH-K3HV.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXL-HEX6M,Hexapod-Mantis,legged,hexapod,proto,259,0,Six-legged crawler for tripod/wave gaits and terrain adaptation.,18,3.0,"['SM-IMU', 'SM-RGBD']","['tripod_gait', 'wave_gait']","{'control': ['CTRL-Locomotion'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXL-HEX6M.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXL-SALA,Salamander,legged,limbed-serpentine,proto,255,0,Articulated limbed body for CPG-based swimming/crawling experiments.,12,1.0,['SM-IMU'],"['body_cpg', 'limb_cpg']","{'control': ['CTRL-Locomotion'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXL-SALA.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXH-DRWNH2,Humanoid-DarwinH2,humanoid,hinge-variant,proto,226,0,Hinge‑optimized mini humanoid for curriculum learning and control ablation.,16,0.5,"['SM-IMU', 'SM-RGBD']","['gait_walk', 'push_recovery']","{'control': ['CTRL-Locomotion'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXH-DRWNH2.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXH-DRWN,Humanoid-Darwin,humanoid,small-biped,proto,183,0,Baseline mini humanoid for classic locomotion and pose tracking tasks.,16,0.5,"['SM-IMU', 'SM-RGBD']",['gait_walk'],"{'control': ['CTRL-Locomotion'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXH-DRWN.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXQ-GHOST,Quadruped-Ghost,legged,quadruped-minimal,proto,180,0,Minimalist quadruped for controller prototyping and unit tests.,8,1.5,['SM-IMU'],"['gait_walk', 'gait_trot']","{'control': ['CTRL-Locomotion'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXQ-GHOST.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXH-RSCH2,Humanoid-Research2,humanoid,small-biped,proto,177,0,Research‑class biped with balanced DoF for perception‑in‑the‑loop control.,20,1.0,"['SM-RGBD', 'SM-IMU', 'SM-Stereo']","['gait_walk', 'whole_body_QP']","{'control': ['CTRL-Locomotion'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXH-RSCH2.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXQ-EDU,Quadruped-Edu,legged,quadruped-edu,proto,177,0,Education‑focused quadruped for classroom gait and sensing labs.,8,1.5,"['SM-IMU', 'SM-RGBD']",['gait_walk'],"{'control': ['CTRL-Locomotion'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXQ-EDU.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXH-K2HV,Humanoid-K2HV,humanoid,small-biped,proto,125,0,High‑velocity mini humanoid (gen‑2) for agility studies.,18,0.8,"['SM-IMU', 'SM-RGBD']","['gait_walk', 'push_recovery']","{'control': ['CTRL-Locomotion'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXH-K2HV.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXH-MINI2H2,Humanoid-Mini2Hinge2,humanoid,hinge-variant,proto,107,0,Mini2 hinge variant for joint‑limit and compliance experiments.,16,0.5,['SM-IMU'],['gait_walk'],"{'control': ['CTRL-Locomotion'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXH-MINI2H2.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXH-COMPACTP,Humanoid-CompactPlus,humanoid,small-biped,proto,75,0,Enhanced compact humanoid with richer IMU and stereo stack.,20,0.7,"['SM-RGBD', 'SM-IMU', 'SM-Stereo']","['gait_walk', 'push_recovery']","{'control': ['CTRL-Locomotion'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXH-COMPACTP.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
DXH-SCOUT,Humanoid-Scout,humanoid,micro-biped,proto,64,0,Micro biped for low‑cost locomotion labs and controller sandboxing.,12,0.3,['SM-IMU'],['gait_walk'],"{'control': ['CTRL-Locomotion'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXH-SCOUT.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1']
